model_name,drift_name,feature_selector_name,learning_threshold,iteration,accuracy,drifts_detected,model_args,ticker
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,100,2,0.514,36,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,100,3,0.514,36,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,100,4,0.514,36,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,100,5,0.514,36,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,200,1,0.51,35,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,200,2,0.51,35,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,200,3,0.51,35,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,200,4,0.51,35,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,200,5,0.51,35,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,500,1,0.511,34,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,500,2,0.511,34,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,500,3,0.511,34,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,500,4,0.511,34,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,500,5,0.511,34,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,1000,1,0.512,33,"grace_period=100, max_depth=4, delta=0.001",AAPL
