date,open,close,high,low,volume
1980-12-12,0.09872590750455856,0.09872590750455856,0.09915512675954263,0.09872590750455856,469033600
1980-12-15,0.0940045329291232,0.09357531368732452,0.0940045329291232,0.09357531368732452,175884800
1980-12-16,0.08713629889001713,0.08670708537101746,0.08713629889001713,0.08670708537101746,105728000
1980-12-17,0.08885317295789719,0.08885317295789719,0.08928239224912475,0.08885317295789719,86441600
1980-12-18,0.09142926335334778,0.09142926335334778,0.09185847699877044,0.09142926335334778,73449600
1980-12-19,0.09700903296470642,0.09700903296470642,0.09743825217994954,0.09700903296470642,48630400
1980-12-22,0.10173042118549347,0.10173042118549347,0.10216040835683875,0.10173042118549347,37363200
1980-12-23,0.10602341592311859,0.10602341592311859,0.10645263541685347,0.10602341592311859,46950400
1980-12-24,0.11160319298505783,0.11160319298505783,0.11203241231737682,0.11160319298505783,48003200
1980-12-26,0.12190517038106918,0.12190517038106918,0.12233438976350997,0.12190517038106918,55574400
1980-12-29,0.12362200021743774,0.12362200021743774,0.12405121947408222,0.12362200021743774,93161600
1980-12-30,0.12104673918722271,0.12061753123998642,0.12104673918722271,0.12061753123998642,68880000
1980-12-31,0.11761305385338584,0.11718383431434631,0.11761305385338584,0.11718383431434631,35750400
1981-01-02,0.11847139894962311,0.11847139894962311,0.11932983742976747,0.11847139894962311,21660800
1981-01-05,0.11632532849819828,0.11589612066745758,0.11632532849819828,0.11589612066745758,35728000
1981-01-06,0.11117394887475607,0.11074472963809967,0.11117394887475607,0.11074472963809967,45158400
1981-01-07,0.10645263541685347,0.10602341592311859,0.10645263541685347,0.10602341592311859,55686400
1981-01-08,0.1043065213513008,0.10387731343507767,0.1043065213513008,0.10387731343507767,39827200
1981-01-09,0.1094571128487587,0.1094571128487587,0.10988633220093243,0.1094571128487587,21504000
1981-01-12,0.10945711400607827,0.10859868675470352,0.10945711400607827,0.10859868675470352,23699200
1981-01-13,0.1051649439402583,0.10473572462797165,0.1051649439402583,0.10473572462797165,23049600
1981-01-14,0.10516490787267685,0.10516490787267685,0.10559412703775758,0.10516490787267685,14291200
1981-01-15,0.10731099545955658,0.10731099545955658,0.10816942235346028,0.10731099545955658,14067200
1981-01-16,0.10688185591850931,0.10645263642072678,0.10688185591850931,0.10645263642072678,13395200
1981-01-19,0.11289087682962418,0.11289087682962418,0.11332009630379723,0.11289087682962418,41574400
1981-01-20,0.10988633220093243,0.1094571128487587,0.10988633220093243,0.1094571128487587,30083200
1981-01-21,0.11160319298505783,0.11160319298505783,0.11246162018764723,0.11160319298505783,15904000
1981-01-22,0.11289087682962418,0.11289087682962418,0.11374931577797029,0.11289087682962418,35548800
1981-01-23,0.11289083840720117,0.112461619079113,0.11332005773528933,0.112461619079113,11222400
