model_name,drift_name,feature_selector_name,num_features,learning_threshold,iteration,accuracy,drifts_detected,model_args,ticker
nochange,adwin,selectkbest,10,500,3,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,selectkbest,10,500,4,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,selectkbest,10,500,5,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,10,500,1,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,10,500,2,0.501,2,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,10,500,3,0.501,2,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,10,500,4,0.501,2,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,10,500,5,0.501,3,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,10,500,1,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,10,500,2,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,10,500,3,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,10,500,4,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,10,500,5,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,10,500,1,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,10,500,2,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,10,500,3,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,10,500,4,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,10,500,5,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,tstat,10,500,1,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,tstat,10,500,2,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,tstat,10,500,3,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,tstat,10,500,4,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,tstat,10,500,5,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,tstat,10,500,1,0.501,3,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,tstat,10,500,2,0.501,5,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,tstat,10,500,3,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,tstat,10,500,4,0.5,3,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,tstat,10,500,5,0.501,2,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,tstat,10,500,1,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,tstat,10,500,2,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,tstat,10,500,3,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,tstat,10,500,4,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,tstat,10,500,5,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,tstat,10,500,1,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,tstat,10,500,2,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,tstat,10,500,3,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,tstat,10,500,4,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,tstat,10,500,5,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,selectkbest,15,500,1,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,selectkbest,15,500,2,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,selectkbest,15,500,3,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,selectkbest,15,500,4,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,selectkbest,15,500,5,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,15,500,1,0.501,2,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,15,500,2,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,15,500,3,0.501,3,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,15,500,4,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,15,500,5,0.501,2,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,15,500,1,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,15,500,2,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,15,500,3,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,15,500,4,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,15,500,5,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,15,500,1,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,15,500,2,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,15,500,3,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,15,500,4,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,15,500,5,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,tstat,15,500,1,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,tstat,15,500,2,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,tstat,15,500,3,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,tstat,15,500,4,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,tstat,15,500,5,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,tstat,15,500,1,0.501,3,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,tstat,15,500,2,0.501,3,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,tstat,15,500,3,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,tstat,15,500,4,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,tstat,15,500,5,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,tstat,15,500,1,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,tstat,15,500,2,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,tstat,15,500,3,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,tstat,15,500,4,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,tstat,15,500,5,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,tstat,15,500,1,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,tstat,15,500,2,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,tstat,15,500,3,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,tstat,15,500,4,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,tstat,15,500,5,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,selectkbest,20,500,1,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,selectkbest,20,500,2,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,selectkbest,20,500,3,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,selectkbest,20,500,4,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,selectkbest,20,500,5,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,20,500,1,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,20,500,2,0.501,3,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,20,500,3,0.501,3,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,20,500,4,0.501,3,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,20,500,5,0.501,2,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,20,500,1,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,20,500,2,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,20,500,3,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,20,500,4,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,20,500,5,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,20,500,1,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,20,500,2,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,20,500,3,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,20,500,4,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,20,500,5,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,tstat,20,500,1,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,tstat,20,500,2,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,tstat,20,500,3,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,tstat,20,500,4,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,tstat,20,500,5,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,tstat,20,500,1,0.501,2,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,tstat,20,500,2,0.501,3,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,tstat,20,500,3,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,tstat,20,500,4,0.501,3,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,tstat,20,500,5,0.501,2,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,tstat,20,500,1,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,tstat,20,500,2,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,tstat,20,500,3,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,tstat,20,500,4,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,tstat,20,500,5,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,tstat,20,500,1,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,tstat,20,500,2,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,tstat,20,500,3,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,tstat,20,500,4,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,tstat,20,500,5,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,adwin,selectkbest,5,500,1,0.522,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,adwin,selectkbest,5,500,2,0.522,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,adwin,selectkbest,5,500,3,0.522,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,adwin,selectkbest,5,500,4,0.522,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,adwin,selectkbest,5,500,5,0.522,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,kswin,selectkbest,5,500,1,0.512,4,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,kswin,selectkbest,5,500,2,0.512,2,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,kswin,selectkbest,5,500,3,0.512,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,kswin,selectkbest,5,500,4,0.517,5,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,kswin,selectkbest,5,500,5,0.513,3,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,pagehinkley,selectkbest,5,500,1,0.527,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,pagehinkley,selectkbest,5,500,2,0.527,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,pagehinkley,selectkbest,5,500,3,0.527,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,pagehinkley,selectkbest,5,500,4,0.527,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,pagehinkley,selectkbest,5,500,5,0.527,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,bollingerband,selectkbest,5,500,1,0.524,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,bollingerband,selectkbest,5,500,2,0.524,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,bollingerband,selectkbest,5,500,3,0.524,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,bollingerband,selectkbest,5,500,4,0.524,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,bollingerband,selectkbest,5,500,5,0.524,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,adwin,tstat,5,500,1,0.522,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,adwin,tstat,5,500,2,0.522,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,adwin,tstat,5,500,3,0.522,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,adwin,tstat,5,500,4,0.522,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,adwin,tstat,5,500,5,0.522,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,kswin,tstat,5,500,1,0.512,2,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,kswin,tstat,5,500,2,0.511,2,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,kswin,tstat,5,500,3,0.513,2,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,kswin,tstat,5,500,4,0.512,2,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,kswin,tstat,5,500,5,0.521,5,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,pagehinkley,tstat,5,500,1,0.527,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,pagehinkley,tstat,5,500,2,0.527,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,pagehinkley,tstat,5,500,3,0.527,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,pagehinkley,tstat,5,500,4,0.527,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,pagehinkley,tstat,5,500,5,0.527,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,bollingerband,tstat,5,500,1,0.524,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
