ensemble_name,model_name,drift_name,feature_selector_name,learning_threshold,iteration,accuracy,drifts_detected,model_args,ticker,base_models_count
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,4,0.509,8,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,4,0.503,8,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,0,0.521,0,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,0,0.519,0,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,0,0.521,0,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,1,0.518,0,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,1,0.513,0,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,1,0.526,0,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,2,0.519,0,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,2,0.517,0,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,2,0.522,0,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,3,0.521,0,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,3,0.513,0,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,3,0.518,0,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,4,0.519,0,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,4,0.521,0,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,4,0.523,0,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,0,0.51,2,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,0,0.504,4,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,0,0.516,4,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,1,0.516,1,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,1,0.513,3,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,1,0.514,4,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,2,0.516,3,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,2,0.519,4,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,2,0.51,3,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,3,0.503,3,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,3,0.507,5,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,3,0.515,5,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,4,0.508,5,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,4,0.511,5,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,4,0.517,1,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,0,0.517,1,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,0,0.511,2,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,0,0.526,0,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,1,0.513,2,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,1,0.511,1,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,1,0.516,2,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,2,0.513,0,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,2,0.512,1,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,2,0.521,0,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,3,0.518,1,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,3,0.521,1,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,3,0.515,1,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,4,0.515,0,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,4,0.516,0,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,4,0.508,1,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,0,0.507,8,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,0,0.508,8,{},AAPL,5
