ensemble_name,model_name,drift_name,feature_selector_name,learning_threshold,iteration,accuracy,drifts_detected,model_args,ticker,base_models_count
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,4,0.519,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,4,0.523,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,0,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,0,0.514,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,0,0.534,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,1,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,1,0.532,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,1,0.535,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,2,0.541,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,2,0.536,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,2,0.525,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,3,0.544,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,3,0.541,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,3,0.514,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,4,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,4,0.5,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,4,0.534,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,0,0.519,1,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,0,0.504,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,0,0.51,1,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,1,0.522,1,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,1,0.512,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,1,0.503,1,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,2,0.505,1,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,2,0.522,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,2,0.511,1,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,3,0.518,1,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,3,0.524,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,3,0.527,1,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,4,0.529,1,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,4,0.519,1,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,4,0.514,1,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,0,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,0,0.513,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,0,0.52,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,1,0.53,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,1,0.539,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,1,0.507,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,2,0.538,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,2,0.543,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,2,0.542,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,3,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,3,0.504,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,3,0.513,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,4,0.536,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,4,0.534,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,4,0.525,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,0,0.524,3,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,0,0.502,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,0,0.524,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,1,0.519,3,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,1,0.519,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,1,0.528,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,2,0.505,3,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,2,0.522,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,2,0.532,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,3,0.53,3,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,3,0.527,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,3,0.527,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,4,0.512,3,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,4,0.52,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,4,0.504,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,0,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,0,0.543,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,0,0.543,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,1,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,1,0.543,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,1,0.54,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,2,0.525,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,2,0.519,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,2,0.539,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,3,0.53,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,3,0.544,0,{},^SPX,5
