model_name,drift_name,feature_selector_name,num_features,learning_threshold,iteration,accuracy,drifts_detected,model_args,ticker
hoeffdingtreeclassifier,adwin,selectkbest,5,500,1,0.545,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,5,500,2,0.545,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,5,500,3,0.545,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,5,500,4,0.545,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,5,500,5,0.545,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,5,500,1,0.544,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,5,500,2,0.545,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,5,500,3,0.547,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,5,500,4,0.545,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,5,500,5,0.545,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,5,500,1,0.545,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,5,500,2,0.545,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,5,500,3,0.545,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,5,500,4,0.545,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,5,500,5,0.545,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,5,500,1,0.529,4,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,5,500,2,0.529,4,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,5,500,3,0.529,4,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,5,500,4,0.529,4,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,5,500,5,0.529,4,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,tstat,5,500,1,0.788,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,tstat,5,500,2,0.788,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,tstat,5,500,3,0.788,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,tstat,5,500,4,0.788,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,tstat,5,500,5,0.788,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,tstat,5,500,1,0.788,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
